"id","title","label","latintoponym","pleiades","welchid","golvinid","buildingtype","chronogroup","secondcentury","capacity","modcountry","romanregion","zotero","amphitheatrum","dimensionsunknown","arenamajor","arenaminor","extmajor","extminor","exteriorheight","longitude","latitude","elevation"
"italicaAmphitheater","Amphitheater at Italica","Italica","Italica","https://pleiades.stoa.org/places/256231","","168","amphitheater","second-century",True,25000.0,"Spain","baetica","","https://amphi-theatrum.de/2740.html",False,70.0,44.0,160.0,136.0,"",-6.046742,37.443893,17
"segobrigaAmphitheater","Amphitheater at Segobriga","Segobriga","Segobriga","https://pleiades.stoa.org/places/266036","","88","amphitheater","flavian",True,7500.0,"Spain","tarraconensis","L98ZXTFU","https://amphi-theatrum.de/1516.html",False,47.0,31.0,75.0,64.0,"",-2.813944,39.886018,817
"cataniaAmphitheater","Amphitheater at Catania","Catania","Catina","https://pleiades.stoa.org/places/462270","","180","amphitheater","imperial",True,16000.0,"Italy","sicilia","","https://amphi-theatrum.de/2635.html",False,52.0,38.0,90.0,70.0,"",15.085323,37.507096,31
"paestumAmphitheater","Amphitheater at Paestum","Paestum","Paestum","https://pleiades.stoa.org/places/442733","10","7","amphitheater","republican",True,4500.0,"Italy","regio-iii","","https://amphi-theatrum.de/1468.html",False,56.0,35.0,79.0,59.0,"",15.006449,40.422354,18
"luniAmphitheater","Amphitheater at Luni","Luni","Luna","https://pleiades.stoa.org/places/403235","","143","amphitheater","second-century",True,3326.0,"Italy","regio-vii","P8RB27QW","https://amphi-theatrum.de/1543.html",False,52.0,34.5,87.0,71.0,"",10.022386,44.062656,4
"cassinoAmphitheater","Amphitheater at Cassino","Cassino","Casinum","https://pleiades.stoa.org/places/432764","","82","amphitheater","imperial",True,7840.0,"Italy","regio-i","","https://amphi-theatrum.de/1513.html",False,51.0,33.0,84.0,66.0,"",13.823575,41.482933,73
"viminaciumAmphitheater","Amphitheater at Viminacium","Viminacium","Viminacium","https://pleiades.stoa.org/places/207549","","","amphitheater","second-century",True,6900.0,"Serbia","moesia-superior","SL2QKBGS","https://amphi-theatrum.de/2572.html",False,55.0,45.0,84.0,74.0,"",21.220083,44.737985,72
"flaviaSolvaAmphitheater","Amphitheater at Flavia Solva","Flavia Solva","Flavia Solva","https://pleiades.stoa.org/places/197273","","52","amphitheater","imperial",True,2729.0,"Austria","noricum","EGZ5XRE9","https://amphi-theatrum.de/1455.html",False,85.0,35.0,97.0,45.0,"",15.5657773,46.76715349,266
"roselleAmphitheater","Amphitheater at Roselle","Roselle","Rusellae","https://pleiades.stoa.org/places/413288","","13","amphitheater","julio-claudian",True,2309.0,"Italy","regio-vii","","https://amphi-theatrum.de/1478.html",False,30.0,20.0,48.0,37.0,"",11.159132,42.828405,165
"parisAmphitheater","Amphitheater at Paris","Paris","Lutetia Parisiorum","https://pleiades.stoa.org/places/109126","","","gallo-roman-amphitheater","flavian",True,15000.0,"France","lugdunensis","","https://theatrum.de/887.html",False,52.0,46.0,"","","",2.352855,48.845097,46
"octodurusForumClaudiiVallensiumAmphitheater","Amphitheater at Octodurus/Forum Claudii Vallensium","Octodorus","Octodurus","https://pleiades.stoa.org/places/167859","","27","amphitheater","imperial",True,15550.0,"Switzerland","alpes-poeninae","","https://amphi-theatrum.de/1489.html",False,74.0,62.0,118.0,106.0,"",7.073493,46.094356,480
"cyreneAmphitheater","Amphitheater at Cyrene","Cyrene","Cyrene","https://pleiades.stoa.org/places/373778","","75","amphitheater","imperial",True,"","Libya","crete-et-cyrenaica","","https://amphi-theatrum.de/2487.html",False,33.0,28.0,"","","",21.850808,32.824526,550
"libarnaAmphitheater","Amphitheater at Libarna","Libarna","Libarna","https://pleiades.stoa.org/places/383694","","105","amphitheater","imperial",True,5380.0,"Italy","regio-ix","","https://amphi-theatrum.de/1530.html",False,66.0,36.6,88.0,58.7,"",8.867967,44.706013,225
"luceraAmphitheater","Amphitheater at Lucera","Lucera","Luceria","https://pleiades.stoa.org/places/442640","","12","amphitheater","augustan",True,17149.0,"Italy","regio-ii","","https://amphi-theatrum.de/1436.html",False,72.2,43.2,126.8,94.5,"",15.344984,41.508249,196
"avellaAmphitheater","Amphitheater at Abella","Abella","Abella","https://pleiades.stoa.org/places/432617","5","3","amphitheater","republican",True,"","Italy","regio-i","","https://amphi-theatrum.de/1461.html",False,63.0,35.0,108.0,70.0,"",14.608415,40.961526,224
"nimesAmphitheater","Amphitheater at Nimes","Nimes","Nemausus","https://pleiades.stoa.org/places/148142","","155","amphitheater","flavian",True,24000.0,"France","narbonensis","LD7NNHSG","https://amphi-theatrum.de/1385.html",False,69.1,38.4,133.4,101.4,"",4.359599,43.834876,50
"charterhouseAmphitheater","Amphitheater at Charterhouse","Charterhouse","Ischalis","https://pleiades.stoa.org/places/79534","","32","amphitheater","imperial",True,"","United Kingdom","britannia","","https://amphi-theatrum.de/1441.html",False,32.0,24.0,70.0,61.0,"",-2.720301,51.305437,296
"chesterAmphitheater","Amphitheater at Chester","Chester","Deva Victrix","https://pleiades.stoa.org/places/79420","","107","amphitheater","flavian",True,10861.0,"United Kingdom","britannia","CW8ICQUU","https://amphi-theatrum.de/1437.html",False,56.7,48.3,95.5,86.6,"",-2.886928,53.189079,23
"gennesAmphitheater","Amphitheater at Gennes","Gennes","Geinum","https://pleiades.stoa.org/places/138371","","","gallo-roman-amphitheater","second-century",True,5000.0,"France","lugdunensis","","https://amphi-theatrum.de/2554.html",False,44.0,39.0,"","","",-0.2386057,47.3352194,47
"scythopolisNysaAmphitheater","Amphitheater at Scythopolis/Nysa","Scythopolis","Scythopolis","https://pleiades.stoa.org/places/678378","","","arena-in-hippodrome","imperial",False,"","Israel","judaea","","https://amphi-theatrum.de/2402.html",True,"","","","","",35.501631,32.498395,-121
"roccellettaAmphitheater","Amphitheater at Roccelletta di Borgia","Roccelletta di Borgia","Scylletium","https://pleiades.stoa.org/places/452439","","","amphitheater","first-century",True,"","Italy","regio-iii","","https://amphi-theatrum.de/1598.html",False,"","",88.0,64.0,"",16.59232919,38.80688779,44
"bordeauxAmphitheater","Amphitheater at Bordeaux","Bordeaux","Burdigala","https://pleiades.stoa.org/places/138248","","188","amphitheater","second-century",True,22130.0,"France","aquitania","V8642RQH","https://amphi-theatrum.de/1388.html",False,69.8,46.7,132.3,110.6,"",-0.582476,44.847382,17
"oudnaAmphitheater","Amphitheater at Oudna","Uthina","Uthina","https://pleiades.stoa.org/places/315247","","115","amphitheater","second-century",True,11832.0,"Tunisia","proconsularis","","https://amphi-theatrum.de/1347.html",False,52.5,37.5,96.0,81.0,"",10.169215,36.608597,112
"carthagoNovaAmphitheater","Amphitheater at Carthago Nova/Col. Urbs Iulia","Carthago Nova","Carthago Nova","https://pleiades.stoa.org/places/265849","","","amphitheater","imperial",True,"","Spain","tarraconensis","","https://amphi-theatrum.de/1613.html",False,"","",69.0,69.0,"",-0.9801609,37.600645499,23
"virunumAmphitheater","Amphitheater at Virunum","Virunum","Virunum","https://pleiades.stoa.org/places/197583","","51","amphitheater","second-century",True,"","Austria","noricum","EGZ5XRE9","https://amphi-theatrum.de/1501.html",False,"","",96.0,42.0,"",14.366995899,46.697877699,479
"carsulaeAmphitheater","Amphitheater at Carsulae","Carsulae","Carsulae","https://pleiades.stoa.org/places/413065","","80","amphitheater","late-first-century",True,5945.0,"Italy","regio-vi","","https://amphi-theatrum.de/1512.html",False,62.1,37.6,86.5,62.0,"",12.559172,42.639468,438
"florenceAmphitheater","Amphitheater at Florence","Florence","Florentia","https://pleiades.stoa.org/places/413138","","140","amphitheater","hadrianic",True,"","Italy","regio-vii","","https://amphi-theatrum.de/1387.html",False,64.0,40.0,113.0,89.0,"",11.2595198,43.7687303,47
"ocriculumAmphitheater","Amphitheater at Ocriculum","Ocriculcum","Ocricoli","https://pleiades.stoa.org/places/413231","","142","amphitheater","imperial",True,17812.0,"Italy","regio-vi","","https://amphi-theatrum.de/2878.html",False,64.0,42.0,120.0,98.0,"",12.467190499,42.4115648,86
"lixusAmphitheater","Amphitheater at Lixus","Lixus","Lixus","https://pleiades.stoa.org/places/275666","","","amphitheater","imperial",True,"","Morocco","mauretania","","https://amphi-theatrum.de/3043.html",False,34.0,28.0,"","","",-6.1084683,35.19990039,52
"arezzoAmphitheater","Amphitheater at Arezzo","Arezzo","Arretium","https://pleiades.stoa.org/places/413032","","149","amphitheater","flavian",True,8000.0,"Italy","regio-vii","","https://amphi-theatrum.de/1398.html",False,71.9,42.7,109.4,80.0,"",11.88037,43.460491,263
"larinoAmphitheater","Amphitheater at Larinum","Larinum","Larinum","https://pleiades.stoa.org/places/442629","","","amphitheater","imperial",True,"","Italy","regio-ii","","https://amphi-theatrum.de/1609.html",False,57.0,40.0,98.0,86.0,"",14.9159226,41.8058428,406
"lucusFeroniaeAmphitheater","Amphitheater at Lucus Feroniae","Lucus Feroniae","Lucus Feroniae","https://pleiades.stoa.org/places/413184","16","145","amphitheater","julio-claudian",True,1844.0,"Italy","regio-vii","","https://amphi-theatrum.de/2923.html",False,34.0,32.0,46.0,44.0,"",12.594868,42.129831,52
"ferentoAmphitheater","Amphitheater at Ferento","Ferento","Ferentium","https://pleiades.stoa.org/places/413184","16","9","amphitheater","republican",True,"","Italy","regio-vii","","https://amphi-theatrum.de/1470.html",False,"","",68.0,40.0,"",12.139272,42.491986,288
"allifaeAmphitheater","Amphitheater at Allifae","Allifae","Allifae","https://pleiades.stoa.org/places/432658","","","amphitheater","imperial",True,"","Italy","regio-i","","https://amphi-theatrum.de/2038.html",False,72.0,48.0,107.0,84.0,"",14.334997,41.325601,106
"cimiezAmphitheater","Amphitheater at Cimiéz","Cimiez","Cemenelum","https://pleiades.stoa.org/places/157834","","16","amphitheater","julio-claudian",True,4245.0,"France","narbonensis","WFCBSKSY","https://amphi-theatrum.de/1481.html",False,46.0,34.0,67.0,56.0,"",7.2752435,43.71967279,112
"hydataHypsitanaForumTraianiAmphitheater","Amphitheater at Hydata Hypsitana/Forum Traiani","Forum Traiani","Forum Traiani","https://pleiades.stoa.org/places/471947","","","amphitheater","imperial",True,"","Italy","corsica-et-sardinia","","https://amphi-theatrum.de/2959.html",False,40.0,32.0,"","","",8.804698,39.993171,49
"luccaAmphitheater","Amphitheater at Lucca","Lucca","Luca","https://pleiades.stoa.org/places/403234","","135","amphitheater","imperial",True,15048.0,"Italy","regio-vii","","https://amphi-theatrum.de/1390.html",False,80.0,53.0,124.0,96.0,"",10.505772199,43.8455202,19
"hispellumAmphitheater","Amphitheater at Spello","Spello","Hispellum","https://pleiades.stoa.org/places/413170","","","amphitheater","first-century",True,"","Italy","regio-vi","","https://amphi-theatrum.de/1595.html",False,"","",82.0,"","",12.6662021,42.9957909,211
"veronaAmphitheater","Amphitheater at Verona","Verona","Verona","https://pleiades.stoa.org/places/383816","","","amphitheater","julio-claudian",True,30000.0,"Italy","regio-x","","https://amphi-theatrum.de/1369.html",False,75.68,44.43,152.43,123.42,"",10.99435,45.43904,62
"aquincumCivilAmphitheater","Civil Amphitheater at Budapest","Aquincum (Civilian)","Aquincum","https://pleiades.stoa.org/places/197130","","125","amphitheater","imperial",True,8617.0,"Hungary","pannonia","","https://amphi-theatrum.de/1457.html",False,51.0,42.0,86.5,75.5,"",19.047985,47.567577,105
"aquincumMilitaryAmphitheater","Military Amphitheater at Budapest","Aquincum (Military)","Aquincum","https://pleiades.stoa.org/places/197130","","124","amphitheater","imperial",True,16049.0,"Hungary","pannonia","","https://amphi-theatrum.de/1458.html",False,88.0,42.0,131.0,107.0,"",19.03906599,47.532947,101
"aldburoughAmphitheater","Amphitheater at Aldborough","Aldburough","Isurium Brigantium","https://pleiades.stoa.org/places/89209","","","amphitheater","imperial",True,"","United Kingdom","britannia","","https://amphi-theatrum.de/1499.html",False,58.0,47.0,"","","",-1.3796295999,54.0881157,41
"perigueuxAmphitheater","Amphitheater at Perigueux","Périgueux","Vesunna Petrucoriorum","https://pleiades.stoa.org/places/138650","","136","amphitheater","first-century",True,21413.0,"France","aquitania","LD7NNHSG","https://amphi-theatrum.de/1407.html",False,65.0,41.0,129.0,105.0,"",0.713249,45.18274,97
"cividateCamunoAmphitheater","Amphitheater at Cividate Camuno","Cividate Camuno","Civitas Camunnorum","https://pleiades.stoa.org/places/383617","","","amphitheater","imperial",True,"","Italy","regio-x","","https://amphi-theatrum.de/2945.html",False,"","",73.0,60.0,"",10.280644,45.94381289,283
"grumentoAmphitheater","Amphitheater at Grumento","Grumento","Grumentum","https://pleiades.stoa.org/places/442603","","92","amphitheater","imperial",True,7657.0,"Italy","regio-iii","","https://amphi-theatrum.de/1519.html",False,60.0,40.0,90.0,70.0,"",15.9115794,40.2876404,579
"albaFucensAmphitheater","Amphitheater at Alba Fucens","Alba Fucens","Alba Fucens","https://pleiades.stoa.org/places/413005","","23","amphitheater","julio-claudian",True,10720.0,"Italy","regio-iv","","https://amphi-theatrum.de/1487.html",False,64.0,37.0,103.0,76.0,"",13.412289,42.0772,977
"augstAmphitheater","Amphitheater at Augst","Augst","Augusta Raurica","https://pleiades.stoa.org/places/177494","","73","amphitheater","late-second-century",True,14313.0,"Switzerland","germania-superior","LD7NNHSG","https://amphi-theatrum.de/1411.html",False,48.0,33.0,102.0,87.0,"",7.72061,47.529294,285
"sutriumAmphitheater","Amphitheater at Sutrium","Sutrium","Sutrium","https://pleiades.stoa.org/places/413328","15","8","amphitheater","republican",True,8500.0,"Italy","regio-vii","","",False,"","",77.0,"","",12.2293009,42.2393124,271
"sarmizegetusaAmphitheater","Amphitheater at Ulpia Traiana Sarmizegetusa","Sarmizegetusa","Ulpia Traiana Sarmizegetusa","https://pleiades.stoa.org/places/207527","","110","amphitheater","second-century",True,5831.0,"Romania","dacia","","",False,66.0,47.0,88.0,69.0,"",22.785320599,45.51667729,491
"salonaAmphitheater","Amphitheater at Salona","Salona","Salona","https://pleiades.stoa.org/places/197488","","181","amphitheater","second-century",True,13380.0,"Croatia","dalmatia","","https://amphi-theatrum.de/1565.html",False,64.0,40.0,125.0,101.0,"",16.473893,43.5381718,8
"londonAmphitheater","Amphitheater at London","London","Londinium","https://pleiades.stoa.org/places/79574","","","amphitheater","flavian",True,6500.0,"United Kingdom","britannia","","https://amphi-theatrum.de/1972.html",False,60.0,40.0,100.0,85.0,"",-0.092136,51.515522,29
"tiburAmphitheater","Amphitheater at Tibur","Tibur","Tibur","https://pleiades.stoa.org/places/423081","","","amphitheater","hadrianic",True,"","Italy","regio-i","","",False,"","",85.0,"","",12.798114,41.960571,248
"caerleonAmphitheater","Amphitheater at Caerleon","Caerleon","Isca Augusta","https://pleiades.stoa.org/places/79532","","108","amphitheater","imperial",True,6000.0,"United Kingdom","britannia","","https://amphi-theatrum.de/1438.html",False,55.0,41.0,80.0,66.0,"",-2.956878,51.6080589,13
"telesiaAmphitheater","Amphitheater at Telesia","Telesia","Telesia","https://pleiades.stoa.org/places/433147","9","6","amphitheater","republican",True,9000.0,"Italy","regio-i","","",False,"","",112.0,"","",14.500496,41.223911,68
"urbisagliaAmphitheater","Amphitheater at Urbs Salvia","Urbs Salvia","Urbs Saglia","https://pleiades.stoa.org/places/413364","","165","amphitheater","flavian",True,5150.0,"Italy","regio-v","","https://amphi-theatrum.de/1556.html",False,59.0,35.0,98.0,71.0,"",13.387224,43.200877,219
"saintesAmphitheater","Amphitheater at Saintes","Saintes","Mediolanum Santonum","https://pleiades.stoa.org/places/138458","","100","amphitheater","imperial",True,20197.0,"France","aquitania","","https://amphi-theatrum.de/1526.html",False,65.2,39.2,126.4,101.6,"",-0.6433512,45.7453926,20
"assisiAmphitheater","Amphitheater at Assisi","Assisi","Asisium","https://pleiades.stoa.org/places/413037","","","amphitheater","first-century",True,"","Italy","regio-vi","","https://amphi-theatrum.de/1386.html",False,60.0,35.0,"","","",12.620454,43.071077,445
"durresAmphitheater","Amphitheater at Durrës","Durrës","Dyrrachium","https://pleiades.stoa.org/places/481818","","178","amphitheater","second-century",True,20000.0,"Albania","macedonia","4MKNQEGP","",False,61.4,42.2,132.4,113.2,"",19.445131,41.312241,15
"lambaesisAmphitheater","Amphitheater at Lambaesis","Lambaesis","Lambaesis","https://pleiades.stoa.org/places/334570","","111","amphitheater","second-century",True,15400.0,"Algeria","mauretania","","https://amphi-theatrum.de/1444.html",False,68.0,55.0,104.6,94.0,"",6.2599349,35.4892469,1170
"mactarisAmphitheater","Amphitheater at Mactaris","Mactaris","Mactaris","https://pleiades.stoa.org/places/324774","","119","amphitheater","second-century",True,5000.0,"Tunisia","proconsularis","","",False,38.4,24.8,63.2,49.6,"",9.2066727,35.8556279,911
"cirencesterAmphitheater","Amphitheater at Cirencester","Cirencester","Corinium Dobunnorum","https://pleiades.stoa.org/places/197225","","33","amphitheater","second-century",True,10210.0,"United Kingdom","britannia","","https://amphi-theatrum.de/1490.html",False,46.0,41.0,89.0,81.0,"",-1.972188,51.71151,119
"vindonissaAmphitheater","Amphitheater at Vindonissa","Vindonissa","Vindonissa","https://pleiades.stoa.org/places/177661","","17","amphitheater","flavian",True,15142.0,"Switzerland","germania-superior","LD7NNHSG","https://amphi-theatrum.de/1454.html",False,64.0,51.0,112.0,98.0,"",8.213605,47.47629,361
"thysdrusSmallAmphitheater","Small Amphitheater at Thysdrus","Thysdrus (Sm.)","Thysdrus","https://pleiades.stoa.org/places/324835","","112","amphitheater","second-century",True,9000.0,"Tunisia","proconsularis","","https://amphi-theatrum.de/1344.html",False,60.0,40.0,92.0,72.0,"",10.707911,35.290106,116
"thysdrusAmphitheater","Amphitheater at Thysdrus","Thysdrus (lg.)","Thysdrus","https://pleiades.stoa.org/places/324835","","186","amphitheater","post-severan",False,35000.0,"Tunisia","proconsularis","","https://amphi-theatrum.de/1343.html",False,65.0,39.0,148.0,122.0,40.0,10.706939,35.29639,111
"frejusAmphitheater","Amphitheater Fréjus","Fréjus","Forum Julii","https://pleiades.stoa.org/places/157836","",138,"amphitheater","flavian",True,13854.0,"France","narbonensis","LD7NNHSG","https://amphi-theatrum.de/1540.html",False,67.7,39.7,113.7,85.7,"",6.72871,43.43446,12
"gortynAmphitheater","Amphitheater at Gortyn","Gortyn","Gortyna","https://pleiades.stoa.org/places/589796","","","amphitheater","second-century",True,"","Greece","crete-et-cyrenaica","4PCVKVQ8","https://amphi-theatrum.de/2484.html",False,"","",85.0,"","",24.953076,35.056454,150
"leptiminusAmphitheater","Amphitheater at Leptiminus","Leptiminus","Leptiminus","https://pleiades.stoa.org/places/324767","","114","amphitheater","second-century",True,9100.0,"Tunisia","proconsularis","","https://amphi-theatrum.de/1322.html",False,45.0,26.0,81.0,62.0,"",10.866282,35.678077,9
"miciaAmphitheater","Amphitheater at Micia","Micia","Micia","https://pleiades.stoa.org/places/207286","","47","amphitheater","second-century",True,1722.0,"Romania","dacia","","https://amphi-theatrum.de/1447.html",False,44.0,26.0,56.0,37.0,"",22.81731,45.915008,183
"gemellaeAmphitheater","Amphitheater at Gemellae","Gemellae","Gemellae","https://pleiades.stoa.org/places/334553","","44","amphitheater","hadrianic",True,3204.0,"Algeria","mauretania","FPC6XYXG","https://amphi-theatrum.de/1445.html",False,52.0,32.0,72.0,52.0,"",5.522992,34.635435,83
"cherchellAmphitheater","Amphitheater at Cherchell","Cherchel","Caesarea","https://pleiades.stoa.org/places/295279","","81","amphitheater","augustan",True,"","Algeria","mauretania","9L8A5YQT","https://amphi-theatrum.de/2425.html",False,98.0,37.0,145.0,78.0,"",2.198958,36.60878,29
"pulaAmphitheater","Amphitheater at Pula","Pula","Colonia Pietas Iulia Pola Pollentia Herculanea","https://pleiades.stoa.org/places/197448","","151","amphitheater","julio-claudian",True,26000.0,"Croatia","regio-x","","https://amphi-theatrum.de/1539.html",False,67.95,41.65,132.45,105.1,32.45,13.850243,44.873229,16
